"EMPLOYMENT STATUS - IMPUTATION REVISED","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"1 - Employed full time","AR","0.004","0.0004","0.003","0.005","0.009","0.0009","0.008","0.011","0.435","0.022","0.393","0.479","1104000","N/A","108000"
"2 - Employed part time","AR","0.001","0.0001","0.001","0.001","0.007","0.0007","0.006","0.008","0.093","0.0079","0.078","0.11","235000","N/A","25000"
"3 - Unemployed","AR","0","0.0001","0","0.001","0.009","0.002","0.006","0.014","0.049","0.0102","0.033","0.074","125000","N/A","27000"
"4 - Other","AR","0.003","0.0003","0.003","0.004","0.009","0.0009","0.008","0.011","0.371","0.0219","0.329","0.415","940000","N/A","93000"
"99 - 12-14 year olds","AR","0","0.0001","0","0.001","0.01","0.0015","0.007","0.014","0.052","0.0071","0.039","0.068","131000","N/A","20000"
"Overall","AZ","0.022","0.0015","0.019","0.025","0.022","0.0015","0.019","0.025","1","0","N/A","N/A","6201000","N/A","429000"
"1 - Employed full time","AZ","0.009","0.0008","0.008","0.011","0.022","0.0019","0.019","0.027","0.424","0.0203","0.385","0.464","2630000","N/A","227000"
"2 - Employed part time","AZ","0.002","0.0002","0.001","0.002","0.014","0.002","0.011","0.019","0.079","0.009","0.063","0.099","491000","N/A","69000"
"3 - Unemployed","AZ","0.001","0.0002","0.001","0.001","0.021","0.0032","0.016","0.029","0.047","0.0064","0.036","0.061","289000","N/A","44000"
"4 - Other","AZ","0.009","0.0007","0.008","0.011","0.025","0.002","0.021","0.029","0.406","0.0208","0.366","0.447","2517000","N/A","208000"
"99 - 12-14 year olds","AZ","0.001","0.0001","0.001","0.001","0.021","0.0023","0.017","0.026","0.044","0.004","0.037","0.053","274000","N/A","30000"
"Overall","CA","0.118","0.0043","0.11","0.127","0.118","0.0043","0.11","0.127","1","0","N/A","N/A","33113000","N/A","1333000"
"1 - Employed full time","CA","0.046","0.0021","0.042","0.05","0.111","0.0048","0.102","0.121","0.391","0.011","0.37","0.413","12944000","N/A","621000"
"2 - Employed part time","CA","0.015","0.001","0.014","0.017","0.124","0.0075","0.11","0.139","0.13","0.0065","0.118","0.144","4315000","N/A","284000"
